,0
279,"(53011, 53057, 53031)"
280,"(53011, 53015, 53029)"
281,"(53011, 53015, 53025)"
282,"(53011, 53015, 53021)"
283,"(53011, 53015, 53009)"
284,"(53011, 53015, 53041)"
285,"(53011, 53015, 53007)"
286,"(53011, 53015, 53027)"
287,"(53011, 53015, 53045)"
288,"(53011, 53015, 53071)"
289,"(53011, 53029, 53025)"
290,"(53011, 53029, 53021)"
291,"(53011, 53029, 53009)"
292,"(53011, 53029, 53041)"
293,"(53011, 53029, 53007)"
294,"(53011, 53029, 53027)"
295,"(53011, 53025, 53021)"
296,"(53011, 53025, 53009)"
297,"(53011, 53025, 53041)"
298,"(53011, 53025, 53007)"
299,"(53011, 53025, 53027)"
300,"(53011, 53021, 53009)"
301,"(53011, 53021, 53041)"
302,"(53067, 53035, 53005)"
303,"(53067, 53035, 53057)"
304,"(53067, 53035, 53015)"
305,"(53067, 53035, 53029)"
306,"(53067, 53035, 53025)"
307,"(53067, 53035, 53021)"
308,"(53067, 53035, 53009)"
309,"(53067, 53077, 53073)"
310,"(53067, 53077, 53005)"
311,"(53067, 53077, 53057)"
312,"(53067, 53073, 53005)"
313,"(53067, 53073, 53057)"
314,"(53035, 53077, 53073)"
315,"(53035, 53077, 53005)"
316,"(53035, 53073, 53005)"
317,"(53077, 53073, 53005)"
318,"(53063, 53077, 53049, 53069)"
319,"(53063, 53077, 53049, 53013)"
320,"(53063, 53077, 53049, 53023)"
321,"(53063, 53077, 53039, 53069)"
322,"(53063, 53077, 53039, 53013)"
323,"(53063, 53077, 53039, 53023)"
324,"(53063, 53077, 53003, 53019)"
325,"(53063, 53077, 53003, 53069)"
326,"(53063, 53077, 53003, 53013)"
327,"(53063, 53077, 53003, 53023)"
328,"(53063, 53077, 53055, 53019)"
329,"(53063, 53077, 53055, 53069)"
330,"(53063, 53077, 53055, 53013)"
331,"(53063, 53077, 53055, 53023)"
332,"(53063, 53077, 53001, 53059)"
333,"(53063, 53077, 53001, 53043)"
334,"(53063, 53077, 53001, 53019)"
335,"(53063, 53077, 53001, 53069)"
336,"(53063, 53077, 53001, 53013)"
337,"(53063, 53077, 53001, 53023)"
338,"(53063, 53077, 53051, 53059)"
339,"(53063, 53077, 53051, 53043)"
340,"(53063, 53077, 53051, 53019)"
341,"(53063, 53077, 53051, 53069)"
342,"(53063, 53077, 53051, 53013)"
343,"(53063, 53077, 53051, 53023)"
344,"(53063, 53077, 53059, 53043)"
345,"(53063, 53077, 53059, 53019)"
346,"(53063, 53077, 53059, 53069)"
347,"(53063, 53077, 53059, 53013)"
348,"(53063, 53077, 53059, 53023)"
349,"(53063, 53077, 53043, 53019)"
350,"(53063, 53077, 53043, 53069)"
351,"(53063, 53077, 53043, 53013)"
352,"(53063, 53077, 53043, 53023)"
353,"(53063, 53077, 53019, 53069)"
354,"(53063, 53077, 53019, 53013)"
355,"(53063, 53077, 53019, 53023)"
356,"(53063, 53077, 53069, 53013)"
357,"(53063, 53077, 53069, 53023)"
358,"(53063, 53077, 53013, 53023)"
359,"(53063, 53073, 53049, 53019)"
360,"(53063, 53073, 53049, 53069)"
361,"(53063, 53073, 53049, 53013)"
362,"(53063, 53073, 53049, 53023)"
363,"(53063, 53073, 53039, 53019)"
364,"(53063, 53073, 53039, 53069)"
365,"(53063, 53073, 53039, 53013)"
366,"(53063, 53073, 53039, 53023)"
367,"(53063, 53073, 53003, 53019)"
368,"(53063, 53073, 53003, 53069)"
369,"(53063, 53073, 53003, 53013)"
370,"(53063, 53073, 53003, 53023)"
371,"(53063, 53073, 53055, 53059)"
372,"(53063, 53073, 53055, 53043)"
373,"(53063, 53073, 53055, 53019)"
374,"(53063, 53073, 53055, 53069)"
375,"(53063, 53073, 53055, 53013)"
376,"(53063, 53073, 53055, 53023)"
377,"(53063, 53073, 53001, 53051)"
378,"(53063, 53073, 53001, 53059)"
379,"(53063, 53073, 53001, 53043)"
380,"(53063, 53073, 53001, 53019)"
381,"(53063, 53073, 53001, 53069)"
382,"(53063, 53073, 53001, 53013)"
383,"(53063, 53073, 53001, 53023)"
384,"(53063, 53073, 53051, 53059)"
385,"(53063, 53073, 53051, 53043)"
386,"(53063, 53073, 53051, 53019)"
387,"(53063, 53073, 53051, 53069)"
388,"(53063, 53073, 53051, 53013)"
389,"(53063, 53073, 53051, 53023)"
390,"(53063, 53073, 53059, 53043)"
391,"(53063, 53073, 53059, 53019)"
392,"(53063, 53073, 53059, 53069)"
393,"(53063, 53073, 53059, 53013)"
394,"(53063, 53073, 53059, 53023)"
395,"(53063, 53073, 53043, 53019)"
396,"(53063, 53073, 53043, 53069)"
397,"(53063, 53073, 53043, 53013)"
398,"(53063, 53073, 53043, 53023)"
399,"(53063, 53073, 53019, 53069)"
400,"(53063, 53073, 53019, 53013)"
401,"(53063, 53073, 53019, 53023)"
402,"(53063, 53073, 53069, 53013)"
403,"(53063, 53073, 53069, 53023)"
404,"(53063, 53073, 53013, 53023)"
405,"(53063, 53005, 53045, 53023)"
406,"(53063, 53005, 53071, 53019)"
407,"(53063, 53005, 53071, 53069)"
408,"(53063, 53005, 53071, 53013)"
409,"(53063, 53005, 53071, 53023)"
410,"(53063, 53005, 53075, 53001)"
411,"(53063, 53005, 53075, 53051)"
412,"(53063, 53005, 53075, 53059)"
413,"(53063, 53005, 53075, 53043)"
414,"(53063, 53005, 53075, 53019)"
415,"(53063, 53005, 53075, 53069)"
416,"(53063, 53005, 53075, 53013)"
417,"(53063, 53005, 53075, 53023)"
418,"(53063, 53005, 53065, 53039)"
419,"(53063, 53005, 53065, 53003)"
420,"(53063, 53005, 53065, 53055)"
421,"(53063, 53005, 53065, 53001)"
422,"(53063, 53005, 53065, 53051)"
423,"(53063, 53005, 53065, 53059)"
424,"(53063, 53005, 53065, 53043)"
425,"(53063, 53005, 53065, 53019)"
426,"(53063, 53005, 53065, 53069)"
427,"(53063, 53005, 53065, 53013)"
428,"(53063, 53005, 53065, 53023)"
429,"(53063, 53005, 53037, 53039)"
430,"(53063, 53005, 53037, 53003)"
431,"(53063, 53005, 53037, 53055)"
432,"(53063, 53005, 53037, 53001)"
433,"(53063, 53005, 53037, 53051)"
434,"(53063, 53005, 53037, 53059)"
435,"(53063, 53005, 53037, 53043)"
436,"(53063, 53005, 53037, 53019)"
437,"(53063, 53005, 53037, 53069)"
438,"(53063, 53005, 53037, 53013)"
439,"(53063, 53005, 53037, 53023)"
440,"(53063, 53005, 53047, 53049)"
441,"(53063, 53005, 53047, 53039)"
442,"(53063, 53005, 53047, 53003)"
443,"(53063, 53005, 53047, 53055)"
444,"(53063, 53005, 53047, 53001)"
445,"(53063, 53005, 53047, 53051)"
446,"(53063, 53005, 53047, 53059)"
447,"(53063, 53005, 53047, 53043)"
448,"(53063, 53005, 53047, 53019)"
449,"(53063, 53005, 53047, 53069)"
450,"(53063, 53005, 53047, 53013)"
451,"(53063, 53005, 53047, 53023)"
452,"(53063, 53005, 53017, 53049)"
453,"(53063, 53005, 53017, 53039)"
454,"(53063, 53005, 53017, 53003)"
455,"(53063, 53005, 53017, 53055)"
456,"(53063, 53005, 53017, 53001)"
457,"(53063, 53005, 53017, 53051)"
458,"(53063, 53005, 53017, 53059)"
459,"(53063, 53005, 53017, 53043)"
460,"(53063, 53005, 53017, 53019)"
461,"(53063, 53005, 53017, 53069)"
462,"(53063, 53005, 53017, 53013)"
463,"(53063, 53005, 53017, 53023)"
464,"(53063, 53005, 53031, 53049)"
465,"(53063, 53005, 53031, 53039)"
466,"(53063, 53005, 53031, 53003)"
467,"(53063, 53005, 53031, 53055)"
468,"(53063, 53005, 53031, 53001)"
469,"(53063, 53005, 53031, 53051)"
470,"(53063, 53005, 53031, 53059)"
471,"(53063, 53005, 53031, 53043)"
472,"(53063, 53005, 53031, 53019)"
473,"(53063, 53005, 53031, 53069)"
474,"(53063, 53005, 53031, 53013)"
475,"(53063, 53005, 53031, 53023)"
476,"(53063, 53005, 53049, 53039)"
477,"(53063, 53005, 53049, 53003)"
478,"(53063, 53005, 53049, 53055)"
479,"(53063, 53005, 53049, 53001)"
480,"(53063, 53005, 53049, 53051)"
481,"(53063, 53005, 53049, 53059)"
482,"(53063, 53005, 53049, 53043)"
483,"(53063, 53005, 53049, 53019)"
484,"(53063, 53005, 53049, 53069)"
485,"(53063, 53005, 53049, 53013)"
486,"(53063, 53005, 53049, 53023)"
487,"(53063, 53005, 53039, 53003)"
488,"(53063, 53005, 53039, 53055)"
489,"(53063, 53005, 53039, 53001)"
490,"(53063, 53005, 53039, 53051)"
491,"(53063, 53005, 53039, 53059)"
492,"(53063, 53005, 53039, 53043)"
493,"(53063, 53005, 53039, 53019)"
494,"(53063, 53005, 53039, 53069)"
495,"(53063, 53005, 53039, 53013)"
496,"(53063, 53005, 53039, 53023)"
497,"(53063, 53005, 53003, 53055)"
498,"(53063, 53005, 53003, 53001)"
499,"(53063, 53005, 53003, 53051)"
500,"(53063, 53005, 53003, 53059)"
501,"(53063, 53005, 53003, 53043)"
502,"(53063, 53005, 53003, 53019)"
503,"(53063, 53005, 53003, 53069)"
504,"(53063, 53005, 53003, 53013)"
505,"(53063, 53005, 53003, 53023)"
506,"(53063, 53005, 53055, 53001)"
507,"(53063, 53005, 53055, 53051)"
508,"(53063, 53005, 53055, 53059)"
509,"(53063, 53005, 53055, 53043)"
510,"(53063, 53005, 53055, 53019)"
511,"(53063, 53005, 53055, 53069)"
512,"(53063, 53005, 53055, 53013)"
513,"(53063, 53005, 53055, 53023)"
514,"(53063, 53005, 53001, 53051)"
515,"(53063, 53005, 53001, 53059)"
516,"(53063, 53005, 53001, 53043)"
517,"(53063, 53005, 53001, 53019)"
518,"(53063, 53005, 53001, 53069)"
519,"(53063, 53005, 53001, 53013)"
520,"(53063, 53005, 53001, 53023)"
521,"(53063, 53005, 53051, 53059)"
522,"(53063, 53005, 53051, 53043)"
523,"(53063, 53005, 53051, 53019)"
524,"(53063, 53005, 53051, 53069)"
525,"(53063, 53005, 53051, 53013)"
526,"(53063, 53005, 53051, 53023)"
527,"(53063, 53005, 53059, 53043)"
528,"(53063, 53005, 53059, 53019)"
529,"(53063, 53005, 53059, 53069)"
530,"(53063, 53005, 53059, 53013)"
531,"(53063, 53005, 53059, 53023)"
532,"(53063, 53005, 53043, 53019)"
533,"(53063, 53005, 53043, 53069)"
534,"(53063, 53005, 53043, 53013)"
535,"(53063, 53005, 53043, 53023)"
536,"(53063, 53005, 53019, 53069)"
537,"(53063, 53005, 53019, 53013)"
538,"(53063, 53005, 53019, 53023)"
539,"(53063, 53005, 53069, 53013)"
540,"(53063, 53005, 53069, 53023)"
541,"(53063, 53005, 53013, 53023)"
542,"(53063, 53057, 53015, 53049)"
543,"(53063, 53057, 53015, 53039)"
544,"(53063, 53057, 53015, 53003)"
545,"(53063, 53057, 53015, 53055)"
546,"(53063, 53057, 53015, 53001)"
547,"(53063, 53057, 53015, 53051)"
548,"(53063, 53057, 53015, 53059)"
549,"(53063, 53057, 53015, 53043)"
550,"(53063, 53057, 53015, 53019)"
551,"(53063, 53057, 53015, 53069)"
552,"(53063, 53057, 53015, 53013)"
553,"(53063, 53057, 53015, 53023)"
554,"(53063, 53057, 53029, 53047)"
555,"(53063, 53057, 53029, 53017)"
556,"(53063, 53057, 53029, 53031)"
557,"(53063, 53057, 53029, 53049)"
558,"(53063, 53057, 53029, 53039)"
559,"(53063, 53057, 53029, 53003)"
560,"(53063, 53057, 53029, 53055)"
561,"(53063, 53057, 53029, 53001)"
562,"(53063, 53057, 53029, 53051)"
563,"(53063, 53057, 53029, 53059)"
564,"(53063, 53057, 53029, 53043)"
565,"(53063, 53057, 53029, 53019)"
566,"(53063, 53057, 53029, 53069)"
567,"(53063, 53057, 53029, 53013)"
568,"(53063, 53057, 53029, 53023)"
569,"(53063, 53057, 53025, 53047)"
570,"(53063, 53057, 53025, 53017)"
571,"(53063, 53057, 53025, 53031)"
572,"(53063, 53057, 53025, 53049)"
573,"(53063, 53057, 53025, 53039)"
574,"(53063, 53057, 53025, 53003)"
575,"(53063, 53057, 53025, 53055)"
576,"(53063, 53057, 53025, 53001)"
577,"(53063, 53057, 53025, 53051)"
578,"(53063, 53057, 53025, 53059)"
579,"(53063, 53057, 53025, 53043)"
580,"(53063, 53057, 53025, 53019)"
581,"(53063, 53057, 53025, 53069)"
582,"(53063, 53057, 53025, 53013)"
583,"(53063, 53057, 53025, 53023)"
584,"(53063, 53057, 53021, 53065)"
585,"(53063, 53057, 53021, 53037)"
586,"(53063, 53057, 53021, 53047)"
587,"(53063, 53057, 53021, 53017)"
588,"(53063, 53057, 53021, 53031)"
589,"(53063, 53057, 53021, 53049)"
590,"(53063, 53057, 53021, 53039)"
591,"(53063, 53057, 53021, 53003)"
592,"(53063, 53057, 53021, 53055)"
593,"(53063, 53057, 53021, 53001)"
594,"(53063, 53057, 53021, 53051)"
595,"(53063, 53057, 53021, 53059)"
596,"(53063, 53057, 53021, 53043)"
597,"(53063, 53057, 53021, 53019)"
598,"(53063, 53057, 53021, 53069)"
599,"(53063, 53057, 53021, 53013)"
600,"(53063, 53057, 53021, 53023)"
601,"(53063, 53057, 53009, 53075)"
602,"(53063, 53057, 53009, 53065)"
603,"(53063, 53057, 53009, 53037)"
604,"(53063, 53057, 53009, 53047)"
605,"(53063, 53057, 53009, 53017)"
606,"(53063, 53057, 53009, 53031)"
607,"(53063, 53057, 53009, 53049)"
608,"(53063, 53057, 53009, 53039)"
609,"(53063, 53057, 53009, 53003)"
610,"(53063, 53057, 53009, 53055)"
611,"(53063, 53057, 53009, 53001)"
612,"(53063, 53057, 53009, 53051)"
613,"(53063, 53057, 53009, 53059)"
614,"(53063, 53057, 53009, 53043)"
615,"(53063, 53057, 53009, 53019)"
616,"(53063, 53057, 53009, 53069)"
617,"(53063, 53057, 53009, 53013)"
618,"(53063, 53057, 53009, 53023)"
619,"(53063, 53057, 53041, 53075)"
620,"(53063, 53057, 53041, 53065)"
621,"(53063, 53057, 53041, 53037)"
622,"(53063, 53057, 53041, 53047)"
623,"(53063, 53057, 53041, 53017)"
624,"(53063, 53057, 53041, 53031)"
625,"(53063, 53057, 53041, 53049)"
626,"(53063, 53057, 53041, 53039)"
627,"(53063, 53057, 53041, 53003)"
628,"(53063, 53057, 53041, 53055)"
629,"(53063, 53057, 53041, 53001)"
630,"(53063, 53057, 53041, 53051)"
631,"(53063, 53057, 53041, 53059)"
632,"(53063, 53057, 53041, 53043)"
633,"(53063, 53057, 53041, 53019)"
634,"(53063, 53057, 53041, 53069)"
635,"(53063, 53057, 53041, 53013)"
636,"(53063, 53057, 53041, 53023)"
637,"(53063, 53057, 53007, 53075)"
638,"(53063, 53057, 53007, 53065)"
639,"(53063, 53057, 53007, 53037)"
640,"(53063, 53057, 53007, 53047)"
641,"(53063, 53057, 53007, 53017)"
642,"(53063, 53057, 53007, 53031)"
643,"(53063, 53057, 53007, 53049)"
644,"(53063, 53057, 53007, 53039)"
645,"(53063, 53057, 53007, 53003)"
646,"(53063, 53057, 53007, 53055)"
647,"(53063, 53057, 53007, 53001)"
648,"(53063, 53057, 53007, 53051)"
649,"(53063, 53057, 53007, 53059)"
650,"(53063, 53057, 53007, 53043)"
651,"(53063, 53057, 53007, 53019)"
652,"(53063, 53057, 53007, 53069)"
653,"(53063, 53057, 53007, 53013)"
654,"(53063, 53057, 53007, 53023)"
655,"(53063, 53057, 53027, 53075)"
656,"(53063, 53057, 53027, 53065)"
657,"(53063, 53057, 53027, 53037)"
658,"(53063, 53057, 53027, 53047)"
659,"(53063, 53057, 53027, 53017)"
660,"(53063, 53057, 53027, 53031)"
661,"(53063, 53057, 53027, 53049)"
662,"(53063, 53057, 53027, 53039)"
663,"(53063, 53057, 53027, 53003)"
664,"(53063, 53057, 53027, 53055)"
665,"(53063, 53057, 53027, 53001)"
666,"(53063, 53057, 53027, 53051)"
667,"(53063, 53057, 53027, 53059)"
668,"(53063, 53057, 53027, 53043)"
669,"(53063, 53057, 53027, 53019)"
670,"(53063, 53057, 53027, 53069)"
671,"(53063, 53057, 53027, 53013)"
672,"(53063, 53057, 53027, 53023)"
673,"(53063, 53057, 53045, 53071)"
674,"(53063, 53057, 53045, 53075)"
675,"(53063, 53057, 53045, 53065)"
676,"(53063, 53057, 53045, 53037)"
677,"(53063, 53057, 53045, 53047)"
678,"(53063, 53057, 53045, 53017)"
679,"(53063, 53057, 53045, 53031)"
680,"(53063, 53057, 53045, 53049)"
681,"(53063, 53057, 53045, 53039)"
682,"(53063, 53057, 53045, 53003)"
683,"(53063, 53057, 53045, 53055)"
684,"(53063, 53057, 53045, 53001)"
685,"(53063, 53057, 53045, 53051)"
686,"(53063, 53057, 53045, 53059)"
687,"(53063, 53057, 53045, 53043)"
688,"(53063, 53057, 53045, 53019)"
689,"(53063, 53057, 53045, 53069)"
690,"(53063, 53057, 53045, 53013)"
691,"(53063, 53057, 53045, 53023)"
692,"(53063, 53057, 53071, 53075)"
693,"(53063, 53057, 53071, 53065)"
694,"(53063, 53057, 53071, 53037)"
695,"(53063, 53057, 53071, 53047)"
696,"(53063, 53057, 53071, 53017)"
697,"(53063, 53057, 53071, 53031)"
698,"(53063, 53057, 53071, 53049)"
699,"(53063, 53057, 53071, 53039)"
700,"(53063, 53057, 53071, 53003)"
701,"(53063, 53057, 53071, 53055)"
702,"(53063, 53057, 53071, 53001)"
703,"(53063, 53057, 53071, 53051)"
704,"(53063, 53057, 53071, 53059)"
705,"(53063, 53057, 53071, 53043)"
706,"(53063, 53057, 53071, 53019)"
707,"(53063, 53057, 53071, 53069)"
708,"(53063, 53057, 53071, 53013)"
709,"(53063, 53057, 53071, 53023)"
710,"(53063, 53057, 53075, 53065)"
711,"(53063, 53057, 53075, 53037)"
712,"(53063, 53057, 53075, 53047)"
713,"(53063, 53057, 53075, 53017)"
714,"(53063, 53057, 53075, 53031)"
715,"(53063, 53057, 53075, 53049)"
716,"(53063, 53057, 53075, 53039)"
717,"(53063, 53057, 53075, 53003)"
718,"(53063, 53057, 53075, 53055)"
719,"(53063, 53057, 53075, 53001)"
720,"(53063, 53057, 53075, 53051)"
721,"(53063, 53057, 53075, 53059)"
722,"(53063, 53057, 53075, 53043)"
723,"(53063, 53057, 53075, 53019)"
724,"(53063, 53057, 53075, 53069)"
725,"(53063, 53057, 53075, 53013)"
726,"(53063, 53057, 53075, 53023)"
727,"(53063, 53057, 53065, 53037)"
